,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
2416,2416,481887827.jpg#3r1e,entailment,A group of people sit before a campfire.,People are around a fire,People who sit at a campfire at around a fire., A group of people *sit* before a *campfire.*, People are *around* a *fire*,"A campfire is a type of fire, and people are around it because they are sitting by it.", A group of *people* *sit* *before* *a* *campfire.*, *People* *are* *around* *a* *fire*,"People infers a group of people, and a campfire is a type of fire.", A *group* *of* *people* sit before a *campfire.*, *People* are *around* *a* *fire*,"['sit', 'campfire']","['around', 'fire']",['people sit before a campfire'],['People are around a fire'],"['group of people', 'campfire']","['People', 'around a fire']",classification,"2,3"
2719,2719,4637947642.jpg#4r1e,entailment,A man in a gray wife beater grilling.,The man is cooking.,Grilling is a form of cooking., A man in a gray wife beater *grilling.*, The man is *cooking.*,"Man in a gray wife beater is a type of man, and grilling implies cooking.", A *man* *in* *a* *gray* *wife* *beater* *grilling.*, The *man* is *cooking.*,A man grilling is a man who is cooking., A man in a gray wife beater *grilling.*, The man is *cooking.*,['grilling'],['cooking'],['man in a gray wife beater grilling'],"['man', 'cooking']",['grilling'],['cooking'],classification,"1,2"
2808,2808,5090324042.jpg#4r1e,entailment,A man is singing on stage with his fingers in a stuffed bear's nose.,A man is entertaining on stage by singing and putting his fingers in a stuffed animal.,Singing on stage is a form of entertaining on stage., A man is *singing* *on* *stage* with his fingers in a stuffed bear's nose., A man is *entertaining* *on* *stage* by singing and putting his fingers in a stuffed animal.,Singing is a form of entertaining. A stuffed bear's nose is the nose of a stuffed animal., A man is *singing* on stage with his fingers in a *stuffed* *bear's* nose., A man is *entertaining* on stage by singing and putting his fingers in a *stuffed* *animal.*,A man is singing and it is mentioned in both the sentences., A *man* is *singing* on stage with his fingers in a stuffed bear's nose., A *man* is entertaining on stage by *singing* and putting his fingers in a stuffed animal.,['singing on stage'],['entertaining on stage'],"['singing', 'stuffed bears']","['entertaining', 'stuffed animal']","['man', 'singing']","['man', 'singing']",classification,"1,2"
2991,2991,4343682191.jpg#1r1e,entailment,A woman in black framed glasses peruses a photo album while sitting in a red wicker chair.,There is a lady with a book.,A woman is also a lady and the book is the photo album., A *woman* in black framed glasses peruses a *photo* *album* while sitting in a red wicker chair., There is a *lady* with a *book.*,"Woman in black framed glasses is a type of lady, and photo album is a type of book.", A *woman* *in* *black* *framed* *glasses* peruses a *photo* *album* while sitting in a red wicker chair., There is a *lady* with a *book.*,The lady is looking through a photo album which is a type of book., A *woman* in black framed glasses peruses *a* *photo* *album* while sitting in a red wicker chair., There is a *lady* *with* *a* *book.*,"['woman', 'photo album']","['lady', 'book']","['woman in black framed glasses', 'photo album']","['lady', 'book']","['woman', 'a photo album']",['lady with a book'],classification,"2,3"
3045,3045,3530502404.jpg#2r1e,entailment,Man in skeleton-printed leather outfit sitting astride a red motorcycle.,A man sits on a motorcycle.,A red motorcycle is a type of motorcycle., Man in skeleton-printed leather outfit sitting astride a *red* *motorcycle.*, A man sits on a *motorcycle.*,The motorcycle is red., Man in skeleton-printed leather outfit sitting astride a *red* motorcycle., A man sits on a *motorcycle.*,"Astride a red motorcycle is a rephrasing of sits on a motorcycle, and man in skeleton-printed leather is a type of man.", *Man* *in* *skeleton-printed* *leather* outfit sitting *astride* *a* *red* *motorcycle.*, A *man* *sits* *on* *a* *motorcycle.*,['red motorcycle'],['motorcycle'],['red'],['motorcycle'],"['Man in skeletonprinted leather', 'astride a red motorcycle']",['man sits on a motorcycle'],classification,"1,3"
3112,3112,538638526.jpg#0r1e,entailment,Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera.,A blond woman stands on a garbage can.,Blond woman wearing a red shirt is a type of blond woman., *Blond* *woman* *wearing* *a* *red* *shirt* and white pants stands on a garbage can as she holds a camera., A *blond* *woman* stands on a garbage can.,A woman hold a camera., Blond woman wearing a red shirt and white pants stands on a garbage can as she *holds* a *camera.*, A blond *woman* stands on a garbage can.,Blond woman wearing a red shirt is a type of blond woman., *Blond* *woman* *wearing* *a* *red* *shirt* and white pants stands on a garbage can as she holds a camera., A *blond* *woman* stands on a garbage can.,['Blond woman wearing a red shirt'],['blond woman'],"['holds', 'camera']",['woman'],['Blond woman wearing a red shirt'],['blond woman'],classification,"1,3"
3189,3189,3486059684.jpg#1r1e,entailment,The restaurant employee is preparing sandwiches in the highly decorated kitchen.,A service worker is making food in a nice kitchen.,I restaurant employee is a type of service worker., The *restaurant* *employee* is preparing sandwiches in the highly decorated kitchen., A *service* *worker* is making food in a nice kitchen.,"Restaurant employee is a type of service worker, and preparing sandwiches is making food.", The *restaurant* *employee* is *preparing* *sandwiches* in the highly decorated kitchen., A *service* *worker* is *making* *food* in a nice kitchen.,Service worker is to employee as making food is to preparing sandwiches., The restaurant *employee* is *preparing* *sandwiches* in the highly decorated kitchen., A *service* *worker* is *making* *food* in a nice kitchen.,['restaurant employee'],['service worker'],"['restaurant employee', 'preparing sandwiches']","['service worker', 'making food']","['employee', 'preparing sandwiches']","['service worker', 'making food']",classification,"1,2"
3226,3226,5650197379.jpg#2r1e,entailment,A man in his skateboard jumping over a grocery cart as his friends in the back watch.,The man has friends.,Man in his skateboard is a type of man., A *man* *in* *his* *skateboard* jumping over a grocery cart as his friends in the back watch., The *man* has friends.,"Man in his skateboard is a type of man, and friends in the back are a type of friends.", A *man* *in* *his* *skateboard* jumping over a grocery cart as his *friends* *in* *the* *back* watch., The *man* has *friends.*,"A man is a man, and ""has friends"" is a rephrasing of ""his friends.", A *man* in his skateboard jumping over a grocery cart as *his* *friends* in the back watch., The *man* *has* *friends.*,['man in his skateboard'],['man'],"['man in his skateboard', 'friends in the back']","['man', 'friends']","['man', 'his friends']",['man has friends'],classification,"1,2"
3268,3268,2218743570.jpg#4r1n,entailment,A husky and a black cat nuzzling.,A dog and cat are friendly.,nuzzling refers to friendly, A husky and a black cat *nuzzling.*, A dog and cat are *friendly.*,"Husky is a kind of dog, and nuzzling implies are friendly.", A *husky* and a black cat *nuzzling.*, A *dog* and cat *are* *friendly.*,"A husky is a type of dog, and ""nuzzling"" is a friendly behavior between animals.", A *husky* and a black *cat* *nuzzling.*, A *dog* and *cat* are *friendly.*,['nuzzling'],['friendly'],"['husky', 'nuzzling']","['dog', 'are friendly']","['husky', 'cat nuzzling']","['dog', 'cat', 'friendly']",classification,"2,3"
3270,3270,7475756284.jpg#2r1e,entailment,A female acrobat wearing a red and white striped shirt and blue pants performs on a pole.,A female acrobat performs on a pole.,A female acrobat wearing a red and white striped shirt is a type of female acrobat., *A* *female* *acrobat* *wearing* *a* *red* *and* *white* *striped* *shirt* and blue pants performs on a pole., A *female* *acrobat* performs on a pole.,Female acrobat wearing a red and white striped shirt is a type of female acrobat., A *female* *acrobat* *wearing* *a* *red* *and* *white* *striped* *shirt* and blue pants performs on a pole., A *female* *acrobat* performs on a pole.,"An acrobat on a pole, performs on a pole.", A female *acrobat* wearing a red and white striped shirt and blue pants performs *on* a *pole.*, A female acrobat *performs* on a *pole.*,['A female acrobat wearing a red and white striped shirt'],['female acrobat'],['female acrobat wearing a red and white striped shirt'],['female acrobat'],"['acrobat', 'on', 'pole']","['performs', 'pole']",classification,"1,2"
3307,3307,4968323199.jpg#1r1e,entailment,Man with dark shirt in work gloves and a helmet that has a yellow flashlight attached.,A man with gloves and a flashlight.,A man with gloves and a flashlight is rephrasing man in work gloves that has a yellow jacket by shortening it., *Man* with dark shirt *in* *work* *gloves* and a helmet *that* *has* *a* *yellow* *flashlight* attached., A *man* *with* *gloves* *and* *a* *flashlight.*,There are both a man with gloves a type of flashlight in each scene., Man with dark shirt in work *gloves* and a helmet that has a yellow *flashlight* attached., A man with *gloves* and a *flashlight.*,A man with gloves and a flashlight is an abbreviated form of Man with dark shirt in work gloves and a helmet that has a yellow flashlight attached, *Man* with dark shirt *in* *work* *gloves* and a helmet *that* *has* *a* *yellow* *flashlight* attached., A *man* *with* *gloves* *and* *a* *flashlight.*,"['Man', 'in work gloves', 'that has a yellow flashlight']",['man with gloves and a flashlight'],"['gloves', 'flashlight']","['gloves', 'flashlight']","['Man', 'in work gloves', 'that has a yellow flashlight']",['man with gloves and a flashlight'],classification,"2,3"
3337,3337,572163357.jpg#4r1e,entailment,Person in yellow shirt is cleaning the way.,Someone wearing yellow is doing work.,Answer: Someone is the person in yellow shirt and his work is cleaning the way., *Person* *in* *yellow* *shirt* is *cleaning* the *way.*, *Someone* wearing yellow is doing *work.*,Cleaning is a form of work., Person in yellow shirt is *cleaning* the way., Someone wearing yellow is doing *work.*,Cleaning is a form of work., Person in yellow shirt is *cleaning* the way., Someone wearing yellow is doing *work.*,"['Person in yellow shirt', 'cleaning', 'way']","['Someone', 'work']",['cleaning'],['work'],['cleaning'],['work'],classification,"2,3"
3588,3588,1255599434.jpg#0r1e,entailment,Two young boys in swimming trunks are in the water looking at each other.,The boys look at each other,"Boys is the plural form of boy, and they are looking at each other.", *Two* young *boys* in swimming trunks are in the water *looking* at *each* *other.*, The *boys* *look* at *each* *other*,Young boys are a type of boy., Two *young* *boys* in swimming trunks are in the water looking at each other., The *boys* look at each other,The boys look at each other and it is mentioned in both the sentences., Two young *boys* in swimming trunks are in the water *looking* *at* *each* *other.*, The *boys* *look* *at* *each* *other*,"['Two', 'boys', 'looking', 'each other']","['boys look', 'each other']",['young boys'],['boys'],"['boys', 'looking at each other']",['boys look at each other'],classification,"1,2"
3764,3764,3308612894.jpg#0r1e,entailment,"A worried blond-haired baby is sitting inside a large, shiny metal cooking pot that is on top of an electric stove.",A baby in a pot on the stove.,"Baby in a pot is a rephrasing of ""a baby sitting inside a pot""."," A worried blond-haired *baby* *is* *sitting* *inside* a large, shiny metal cooking *pot* that is on top of an electric stove.", A *baby* *in* *a* *pot* on the stove.,A baby sitting inside a cooking pot is in it.  An electric stove is a type of stove.," A worried blond-haired *baby* is *sitting* *inside* *a* large, shiny metal cooking *pot* that is on top of an *electric* *stove.*", A *baby* *in* *a* *pot* on the *stove.*,"Blond-haired baby is a type of baby, and cooking pot is a type of pot."," A worried *blond-haired* *baby* is sitting inside a large, shiny metal *cooking* *pot* that is on top of an electric stove.", A *baby* in a *pot* on the stove.,"['baby is sitting inside', 'pot']",['baby in a pot'],"['baby', 'sitting inside a', 'pot', 'electric stove']","['baby in a pot', 'stove']","['blondhaired baby', 'cooking pot']","['baby', 'pot']",classification,"2,3"
3820,3820,2276230068.jpg#3r1e,entailment,A boy wearing orange star glasses is sitting down holding a toy hammer.,A boy wearing glasses is sitting while holding a toy hammer.,Orange star glasses are a type of glasses., A boy wearing *orange* *star* *glasses* is sitting down holding a toy hammer., A boy wearing *glasses* is sitting while holding a toy hammer.,There is both a boy with glasses and a toy hammer., A boy wearing orange star *glasses* is sitting down holding a *toy* *hammer.*, A boy wearing *glasses* is sitting while holding a *toy* *hammer.*,"Orange star glasses is a form of glasses, and sitting down holding a toy hammer is a paraphrase of sitting while holding a toy hammer.", A boy wearing *orange* *star* *glasses* is *sitting* *down* *holding* *a* *toy* *hammer.*, A boy wearing *glasses* is *sitting* *while* *holding* *a* *toy* *hammer.*,['orange star glasses'],['glasses'],"['glasses', 'toy hammer']","['glasses', 'toy hammer']","['orange star glasses', 'sitting down holding a toy hammer']","['glasses', 'sitting while holding a toy hammer']",classification,"1,3"
3987,3987,3440104178.jpg#0r1e,entailment,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path.,White dog with brown ears is a type of dog., A *white* *dog* *with* *brown* *ears* runs down a gravel path with a ball in its mouth., A *dog* runs down a path.,"A white dog with brown ears is a type of dog, and a gravel path is a type of path.", A *white* *dog* *with* *brown* *ears* runs down a *gravel* *path* with a ball in its mouth., A *dog* runs down a *path.*,A white dog is a god as part of its description running down a (gravel) path., A *white* *dog* with brown ears *runs* down a *gravel* *path* with a ball in its mouth., A *dog* runs down a *path.*,['white dog with brown ears'],['dog'],"['white dog with brown ears', 'gravel path']","['dog', 'path']","['white dog', 'runs', 'gravel path']","['dog', 'path']",classification,"1,2"
4042,4042,4463424891.jpg#4r1e,entailment,A small child playing in a dusty square.,A child is playing.,Child playing in a dusty square is a form of playing., A small *child* *playing* *in* *a* *dusty* *square.*, A child is *playing.*,Small child is a type of child., A *small* *child* playing in a dusty square., A *child* is playing.,A child is a child. Playing is playing., A small *child* *playing* in a dusty square., A *child* is *playing.*,['child playing in a dusty square'],['playing'],['small child'],['child'],['child playing'],"['child', 'playing']",classification,"1,2"
4056,4056,147236031.jpg#1r1e,entailment,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,Trimming is a form of cutting.  An asparagus is a type of vegetable., An Asian woman is looking at the camera while *trimming* *asparagus.*, Woman *cuts* *vegetables.*,"Asian woman is a woman, and trimming asparagus is a type of cuts vegetables.", An *Asian* *woman* is looking at the camera while *trimming* *asparagus.*, *Woman* *cuts* *vegetables.*,trimming asparagus refer to cuts asparagus, An Asian woman is looking at the camera while *trimming* *asparagus.*, Woman *cuts* *vegetables.*,['trimming asparagus'],['cuts vegetables'],"['Asian woman', 'trimming asparagus']",['Woman cuts vegetables'],['trimming asparagus'],['cuts vegetables'],classification,"1,2"
4485,4485,3457794471.jpg#1r1e,entailment,A young girl in her school uniform dances in a water sculpture in the middle of a crowded public square.,The girl is wearing a uniform.,"""The girl is wearing a uniform"" is a rephrasing of ""girl in her school uniform.""", A young *girl* in her school *uniform* dances in a water sculpture in the middle of a crowded public square., The *girl* is *wearing* a *uniform.*,School uniform describes the kind of uniform the girl wears., A young girl in her *school* *uniform* dances in a water sculpture in the middle of a crowded public square., The girl is wearing a *uniform.*,"Young girl is a girl, and school uniform is a type of uniform.", A *young* *girl* in her *school* *uniform* dances in a water sculpture in the middle of a crowded public square., The *girl* is wearing a *uniform.*,"['girl', 'uniform']","['girl', 'wearing', 'uniform']",['school uniform'],['uniform'],"['young girl', 'school uniform']","['girl', 'uniform']",classification,"2,3"
4828,4828,174466741.jpg#1r1e,entailment,A young girl wearing a pink shirt and jeans is running through a flowered field.,A girl is in the field.,Running through a flowered field is a type of field., A young girl wearing a pink shirt and jeans is *running* *through* *a* *flowered* *field.*, A girl is in the *field.*,A girl is running in the field wearing jeans., A young girl *wearing* a pink shirt and *jeans* is *running* through a flowered field., A *girl* is *in* *the* *field.*,"Young girl is a type of girl, and a flowered field is a type of field.", A *young* *girl* wearing a pink shirt and jeans is running through a *flowered* *field.*, A *girl* is in the *field.*,['running through a flowered field'],['field'],"['wearing', 'jeans', 'running']","['girl', 'in the field']","['young girl', 'flowered field']","['girl', 'field']",classification,"1,3"
5303,5303,3411579899.jpg#1r1e,entailment,Mountain biking in a forest during the early fall.,Bicycling through the woods in the Autumn.,Mountain biking is a type of bicycling., *Mountain* *biking* in a forest during the early fall., *Bicycling* through the woods in the Autumn.,"Mountain biking is a type of bicycling, and forest is woods.", *Mountain* *biking* in a *forest* during the early fall., *Bicycling* through the *woods* in the Autumn.,Mountain biking uses bikes and can thus be generically called bicycling. The woods is another word for forest. Autumn is another word for the season of fall., *Mountain* *biking* in a *forest* during the early *fall.*, *Bicycling* through the *woods* in the *Autumn.*,['Mountain biking'],['Bicycling'],"['Mountain biking', 'forest']","['Bicycling', 'woods']","['Mountain biking', 'forest', 'fall']","['Bicycling', 'woods', 'Autumn']",classification,"1,2"
5574,5574,3549673305.jpg#0r1e,entailment,A man in a leather jacket with the collar popped kisses the neck of a woman in a gray coat wearing a white scarf.,a guy with a jacket kisses a woman with a scarf,"Man is guy, and leather jacket is a form of jacket.", A *man* in a *leather* *jacket* with the collar popped kisses the neck of a woman in a gray coat wearing a white scarf., a *guy* with a *jacket* kisses a woman with a scarf,Leather describes the type of jacket., A man in a *leather* *jacket* with the collar popped kisses the neck of a woman in a gray coat wearing a white scarf., a guy with a *jacket* kisses a woman with a scarf,A GUY KISSES A WOMAN, A man in a leather jacket with the collar popped *kisses* the neck of a woman in a gray coat wearing a white scarf., a *guy* with a jacket kisses a *woman* with a scarf,"['man', 'leather jacket']","['guy', 'jacket']",['leather jacket'],['jacket'],['kisses'],"['guy', 'woman']",classification,"1,2"
5623,5623,3476709230.jpg#3r1e,entailment,A group of kids are playing on a tire swing.,Some kids are playing on a swing.,"Group of kids are some kids, and tire swing is a type of swing.", A *group* *of* *kids* are playing on a *tire* *swing.*, *Some* *kids* are playing on a *swing.*,"""Some kids"" is a rephrasing of ""group of kids."" Plus, a tire swing is a type of swing.", A *group* *of* *kids* are playing on a *tire* *swing.*, *Some* *kids* are playing on a *swing.*,The swing the children are playing on is made from a tire., A group of *kids* are *playing* on a tire *swing.*, Some *kids* are playing on a swing.,"['group of kids', 'tire swing']","['Some kids', 'swing']","['group of kids', 'tire swing']","['Some kids', 'swing']","['kids', 'playing', 'swing']",['kids'],classification,"1,2"
5659,5659,136644885.jpg#1r1e,entailment,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area.,A woman wearing a white shirt crosses a bridge in a wooded area.,A rope bridge is a type of bridge, A woman wearing a white shirt and jeans crosses a *rope* *bridge* in a wooded area., A woman wearing a white shirt crosses a *bridge* in a wooded area.,"Woman wearing a white shirt and jeans is a type of woman, and crosses a rope bridge is a paraphrasing of crosses a bridge.", A *woman* *wearing* *a* *white* *shirt* *and* *jeans* *crosses* *a* *rope* *bridge* in a wooded area., A *woman* wearing a white shirt *crosses* *a* *bridge* in a wooded area.,The area is wooded., A woman wearing a white shirt and jeans crosses a rope bridge in a wooded *area.*, A woman wearing a white shirt crosses a bridge in a *wooded* area.,['rope bridge'],['bridge'],['woman wearing a white shirt and jeans crosses a rope bridge'],"['woman', 'crosses a bridge']",['area'],['wooded'],classification,"1,2"
5763,5763,5960769829.jpg#3r1e,entailment,A person in an orange kayak navigates white water rapids.,A PERSON IS IN A BOAT.,A kayak is a type of boat., A person in an orange *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,An orange kayak is a type of boat., A person in an *orange* *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,A kayak is a type of boat., A person in an orange *kayak* navigates white water rapids., A PERSON IS IN A *BOAT.*,['kayak'],['BOAT'],['orange kayak'],['BOAT'],['kayak'],['BOAT'],classification,"1,2,3"
6163,6163,303103123.jpg#1r1e,entailment,Three girls are sitting at desks and appear to be working intently.,Three young people are seated.,Girls is a form of young people., Three *girls* are sitting at desks and appear to be working intently., Three *young* *people* are seated.,Girls are young people. Sitting is the present form of seated., Three *girls* are *sitting* at desks and appear to be working intently., Three *young* *people* are *seated.*,"Three girls are three young people, and sitting is a paraphrase of are seated.", *Three* *girls* are *sitting* at desks and appear to be working intently., *Three* *young* *people* *are* *seated.*,['girls'],['young people'],"['girls', 'sitting']","['young people', 'seated']","['Three girls', 'sitting']",['Three young people are seated'],classification,"1,2"
